id,first_name,last_name,email,gender,ip_address,player_name,age,position,team,nationality,height,weight,jersey_number,goals_scored,assists
1,Lucita,Atheis,latheis0@howstuffworks.com,Female,219.73.76.158,Lucita Atheis,23,defender,Manchester United,Mexico,172.31,84.32,42,37,7
2,Micaela,McKenzie,mmckenzie1@ft.com,Female,152.219.203.158,Micaela McKenzie,37,defender,Manchester United,China,163.83,54.83,11,33,4
3,Welsh,Hughf,whughf2@netvibes.com,Male,131.139.245.252,Welsh Hughf,21,forward,Barcelona,United Kingdom,156.64,57.84,39,23,16
4,Darbie,Marshman,dmarshman3@t-online.de,Female,138.95.12.204,Darbie Marshman,29,goalkeeper,Bayern Munich,Portugal,154.72,71.65,27,32,1
5,Hattie,Demkowicz,hdemkowicz4@mapquest.com,Female,189.55.22.55,Hattie Demkowicz,32,midfielder,Real Madrid,Thailand,155.48,80.31,18,44,17
6,Haven,McGilleghole,hmcgilleghole5@army.mil,Male,82.206.240.251,Haven McGilleghole,29,goalkeeper,Bayern Munich,Russia,160.33,72.59,42,35,8
7,Conan,Purseglove,cpurseglove6@princeton.edu,Male,64.253.210.242,Conan Purseglove,33,defender,Manchester United,Poland,163.39,75.66,32,25,15
8,Gweneth,Kastel,gkastel7@eventbrite.com,Female,63.181.76.217,Gweneth Kastel,39,midfielder,Real Madrid,Haiti,156.3,74.57,95,40,0
9,Grantham,Burnsides,gburnsides8@omniture.com,Male,53.227.120.33,Grantham Burnsides,31,forward,Bayern Munich,Estonia,157.26,56.8,77,19,25
10,Purcell,Plomer,pplomer9@google.cn,Male,0.146.23.162,Purcell Plomer,22,goalkeeper,Barcelona,China,209.01,58.87,63,0,4
11,Irina,Iannitti,iiannittia@devhub.com,Female,160.113.248.197,Irina Iannitti,30,forward,Barcelona,Indonesia,205.89,82.06,92,48,10
12,Danette,Caccavari,dcaccavarib@thetimes.co.uk,Female,145.152.203.33,Danette Caccavari,20,midfielder,Bayern Munich,Indonesia,162.32,97.65,53,14,14
13,Lissy,Jablonski,ljablonskic@elegantthemes.com,Female,229.57.237.121,Lissy Jablonski,29,goalkeeper,Bayern Munich,Indonesia,166.93,51.4,86,35,10
14,Clarie,Ailward,cailwardd@bbb.org,Female,237.67.251.125,Clarie Ailward,24,defender,Barcelona,Netherlands,152.64,79.05,59,40,4
15,Lorianna,Chasle,lchaslee@twitter.com,Female,250.126.239.155,Lorianna Chasle,24,forward,Barcelona,Philippines,162.09,68.94,28,28,17
16,Teriann,Bobasch,tbobaschf@mashable.com,Female,111.204.2.169,Teriann Bobasch,18,midfielder,Manchester United,Luxembourg,157.32,58.87,46,49,18
17,Robbyn,Munford,rmunfordg@youku.com,Female,36.72.46.54,Robbyn Munford,25,midfielder,Barcelona,Greece,186.45,91.29,52,32,14
18,Nathalia,Lowson,nlowsonh@zimbio.com,Female,97.129.155.2,Nathalia Lowson,30,forward,Manchester United,Portugal,165.0,52.91,73,23,6
19,Massimo,Manolov,mmanolovi@smh.com.au,Male,125.142.239.7,Massimo Manolov,31,forward,Bayern Munich,China,166.19,65.67,39,17,18
